,l1,l2,l3,s1,s2,s3
755,0,1,0,3,0,0
756,0,0,0,3,0,0
757,0,4,0,1,2,0
758,3,1,0,2,1,0
759,1,1,0,1,0,0
760,1,1,0,0,1,0
761,4,0,0,1,0,0
762,3,0,1,4,2,0
763,0,0,0,1,1,0
764,0,0,0,3,1,0
765,1,1,1,1,2,0
766,1,1,0,-1,0,0
767,0,1,0,3,0,0
768,0,1,0,1,0,0
769,0,1,0,2,1,0
770,1,2,0,0,1,0
771,0,0,0,1,3,0
772,-1,1,0,2,4,0
773,1,0,0,1,0,0
774,0,0,0,0,1,0
775,1,0,0,5,2,0
776,1,0,0,3,0,0
777,0,0,0,-2,1,0
778,0,0,0,-1,0,0
779,0,1,0,1,1,0
780,2,1,0,0,4,0
781,0,0,0,1,0,0
782,1,0,0,0,-1,0
783,0,0,0,1,1,0
784,0,0,0,1,0,0
785,0,0,0,0,0,0
786,1,0,0,4,2,0
787,0,0,0,-1,1,0
788,0,0,0,1,2,0
789,2,0,0,0,0,0
790,0,0,0,1,1,0
791,1,0,0,0,1,0
792,0,0,0,3,0,0
793,3,0,0,3,1,0
794,2,1,0,1,1,0
795,1,0,0,-1,0,0
796,0,1,0,2,0,0
797,0,0,0,1,0,0
798,2,0,0,1,3,0
799,1,1,0,1,1,0
800,-1,0,0,-1,1,0
801,0,0,0,2,2,0
802,0,0,0,2,0,0
803,0,0,1,0,3,0
804,-2,0,0,1,0,0
805,1,0,0,2,2,0
806,0,0,0,4,2,0
807,1,2,0,4,2,0
808,0,0,0,0,2,0
809,3,0,0,-1,-1,0
810,1,1,0,-1,1,0
811,1,0,0,1,1,0
812,0,0,0,1,0,0
813,0,0,0,1,1,0
814,1,1,1,0,0,0
815,2,2,0,1,0,0
816,0,0,0,0,0,0
817,2,0,0,0,2,0
818,-1,1,0,0,1,0
819,1,1,0,1,0,0
820,0,1,0,0,1,0
821,0,0,0,3,0,0
822,0,0,1,1,1,0
823,1,1,0,1,1,0
824,0,0,0,0,2,0
825,0,0,0,1,1,0
826,0,1,0,1,1,0
827,1,0,0,-2,2,0
828,0,2,0,1,2,0
829,0,0,0,3,0,0
830,0,1,1,2,1,0
831,0,1,0,1,3,0
832,0,1,0,1,1,0
833,0,0,0,1,0,0
834,0,0,0,3,0,0
835,0,0,0,1,0,0
836,0,0,0,0,1,0
837,1,0,0,1,2,0
838,1,1,0,3,1,0
839,0,1,0,-2,-1,0
840,2,0,0,1,-1,0
841,0,2,0,-1,1,0
842,1,1,0,0,1,0
843,0,2,0,0,1,0
844,1,1,0,0,0,0
845,0,0,0,0,0,0
846,0,2,0,-1,0,0
847,0,1,1,0,0,0
848,1,0,0,0,0,0
849,1,0,0,1,2,0
850,2,0,0,0,0,0
851,0,0,0,0,1,0
852,0,0,0,1,0,0
853,0,0,0,0,2,0
854,0,1,0,2,2,0
855,0,0,0,1,3,0
856,0,0,0,1,1,0
